Dekade	Title	Number of characters	Max Degree	Average Degree	Density	Average Path Length									
1790	1790-Goethe_Johann_Wolfgang_von-Torquato_Tasso-speakers	5,00	4,00	4,00	1,00	1,00	Schauspiel	1790-Goethe_Johann_Wolfgang_von-Torquato_Tasso-lina.xml							
1790	1790-Iffland_August_Wilhelm-Figaro_in_Deutschland-speakers	17,00	16,00	11,29	0,71	1,29	Lustspiel	1790-Iffland_August_Wilhelm-Figaro_in_Deutschland-lina.xml							
1790	1790-Kotzebue_August_von-Menschenhaß_und_Reue-speakers	12,00	11,00	7,00	0,64	1,36	Schauspiel	1790-Kotzebue_August_von-Menschenha%C3%9F_und_Reue-lina.xml							
1790	1791-Schikaneder_Johann_Emanuel-Die_Zauberflöte-speakers	28,00	17,00	7,93	0,29	1,87	Oper	1791-Schikaneder_Johann_Emanuel-Die_Zauberfl%C3%B6te-lina.xml							
1790	1792-Goethe_Johann_Wolfgang_von-Der_Großkophta-speakers	25,00	18,00	7,28	0,30	1,68	Lustspiel	1792-Goethe_Johann_Wolfgang_von-Der_Gro%C3%9Fkophta-lina.xml							
1790	1793-Goethe_Johann_Wolfgang_von-Der_Bürgergeneral-speakers	7,00	6,00	5,43	0,90	1,10	Lustspiel	1793-Goethe_Johann_Wolfgang_von-Der_B%C3%BCrgergeneral-lina.xml							
1790	1795-Zschokke_Heinrich-Abellino-speakers	17,00	15,00	9,06	0,57	1,45	Schauspiel	1795-Zschokke_Heinrich-Abellino-lina.xml							
1790	1796-Iffland_August_Wilhelm-Der_Spieler-speakers	20,00	18,00	10,00	0,53	1,48	Schauspiel	1796-Iffland_August_Wilhelm-Der_Spieler-lina.xml							
1790	1796-Weidmann_Paul-Der_Dorfbarbier-speakers	10,00	9,00	6,80	0,76	1,24	Oper	1796-Weidmann_Paul-Der_Dorfbarbier-lina.xml							
1790	1797-Soden_Julius_von-Doktor_Faust-speakers	42,00	40,00	6,62	0,16	1,88	Schauspiel	1797-Soden_Julius_von-Doktor_Faust-lina.xml							
1790	1797-Tieck_Ludwig-Der_gestiefelte_Kater-speakers	45,00	39,00	16,76	0,38	1,73		1797-Tieck_Ludwig-Der_gestiefelte_Kater-lina.xml							
1790	1797-Tieck_Ludwig-Ritter_Blaubart-speakers	21,00	18,00	10,48	0,52	1,49	Ammenmärchen	1797-Tieck_Ludwig-Ritter_Blaubart-lina.xml							
1790	1798-Gotter_Friedrich_Wilhelm-Die_Geisterinsel-speakers	15,00	14,00	8,27	0,59	1,41	Singspiel	1798-Gotter_Friedrich_Wilhelm-Die_Geisterinsel-lina.xml							
1790	1798-Schiller_Friedrich-Wallensteins_Lager-speakers	30,00	28,00	12,40	0,43	1,62		1798-Schiller_Friedrich-Wallensteins_Lager-lina.xml							
1790	1799-Hensler_Karl_Friedrich-Die_Teufelsmühle_am_Wienerberg-speakers	33,00	23,00	8,42	0,26	1,89		1799-Hensler_Karl_Friedrich-Die_Teufelsm%C3%BChle_am_Wienerberg-lina.xml							
1790	1799-Kotzebue_August_von-Der_Hyperboreische_Esel_oder_Die_heutige_Bildung-speakers	6,00	5,00	5,00	1,00	1,00		1799-Kotzebue_August_von-Der_Hyperboreische_Esel_oder_Die_heutige_Bildung-lina.xml							
1790	1799-Schiller_Friedrich-Die_Piccolomini-speakers	23,00	15,00	8,09	0,37	1,94		1799-Schiller_Friedrich-Die_Piccolomini-lina.xml							
1790	1799-Schiller_Friedrich-Wallensteins_Tod-speakers	32,00	20,00	7,25	0,23	2,06	Trauerspiel	1799-Schiller_Friedrich-Wallensteins_Tod-lina.xml							
1790	1799-Tieck_Ludwig-Prinz_Zerbino_oder_die_Reise_nach_dem_guten_Geschmack-speakers	138,00	76,00	16,83	0,12	2,28	Lustspiel	1799-Tieck_Ludwig-Prinz_Zerbino_oder_die_Reise_nach_dem_guten_Geschmack-lina.xml							
1800	1800-Schiller_Friedrich-Maria_Stuart-speakers	20,00	12,00	6,10	0,32	2,15	Trauerspiel	1800-Schiller_Friedrich-Maria_Stuart-lina.xml							
1800	1800-Tieck_Ludwig-Die_verkehrte_Welt-speakers	75,00	59,00	22,27	0,30	1,70	Historisches Schauspiel	1800-Tieck_Ludwig-Die_verkehrte_Welt-lina.xml							
1800	1801-Benkowitz_Karl_Friedrich-Die_Jubelfeier_der_Hölle_oder_Faust_der_jüngere-speakers	24,00	15,00	7,42	0,32	2,03	Lustspiel	1801-Benkowitz_Karl_Friedrich-Die_Jubelfeier_der_H%C3%B6lle_oder_Faust_der_j%C3%BCngere-lina.xml							
1800	1801-Kotzebue_August_von-Die_beiden_Klingsberg-speakers	13,00	11,00	5,54	0,46	1,56	Lustspiel	1801-Kotzebue_August_von-Die_beiden_Klingsberg-lina.xml							
