name;title;author;chars;words;speech_acts
GEHEIMER RAT;Der Hofmeister oder Vorteile der Privaterziehung;Lenz, Jakob Michael Reinhold;23493;4216;97
DER BARON;Der Rosenkavalier;Hofmannsthal, Hugo von;23486;4364;211
ALBRECHT;Agnes Bernauerin;Törring, Josef August von;23478;4171;152
EULALIA;MenschenhaÃŸ und Reue;Kotzebue, August von;23475;4239;156
HUBERT;Dies irae;Wildgans, Anton;23393;4211;253
ANTONIO;Torquato Tasso;Goethe, Johann Wolfgang von;23374;4465;89
DOMHERR;Der GroÃŸkophta;Goethe, Johann Wolfgang von;23314;4121;110
HANSWURST;Der Furchtsame;Hafner, Philipp;23290;4163;116
DER ALTE DOMINIQUE;Das Erbtheil des Vaters;Iffland, August Wilhelm;23235;4366;252
DIETRICH;Die Quitzows;Wildenbruch, Ernst von;23232;4298;257
KLARA;Musik;Wedekind, Frank;23199;4112;99
GEHRKE;Sozialaristokraten;Holz, Arno;23185;3737;140
SCHÃ–N;Erdgeist;Wedekind, Frank;23065;4189;318
HEINRICH;Der Hypochondrist;Quistorp, Theodor Johann;23033;4253;194
FLITT;Die Freier;Eichendorff, Joseph von;23027;4168;124
RABANSER;Dies irae;Wildgans, Anton;22986;3996;130
MUSMANN;Sonnenfinsternis;Holz, Arno;22946;3566;241
VITTORIA;Der Abenteurer und die SÃ_ngerin oder Die Geschenke des Lebens;Hofmannsthal, Hugo von;22916;4428;134
GALBINO;Die neue Arria;Klinger, Friedrich Maximilian;22886;4254;116
SIEGFRIED;Genoveva;Hebbel, Friedrich;22855;4437;132
HERZOG;Die natürliche Tochter;Goethe, Johann Wolfgang von;22819;4053;81
KLÃ„RCHEN;Egmont;Goethe, Johann Wolfgang von;22785;3722;87
HERR ORBIL;Der Mann nach der Uhr, oder der ordentliche Mann;Hippel, Theodor Gottlieb von;22783;4151;127
CHRYSANDER;Der junge Gelehrte;Lessing, Gotthold Ephraim;22763;4223;149
BACULUS;Der Wildschütz oder Die Stimme der Natur;Kotzebue, August von;22760;4239;263
DER GRAF;Die Ahnfrau;Grillparzer, Franz;22697;4304;102
TIGELLINUS;Nero;Panizza, Oskar;22693;3621;67
MAX;Anatol;Schnitzler, Arthur;22666;4204;412
LIONEL MANDER;Gaukler, Tod und Juwelier;Hauptmann, Carl;22569;3546;96
LISETTE;Der junge Gelehrte;Lessing, Gotthold Ephraim;22545;4157;188
GRILLHOFER;Der Gwissenswurm;Anzengruber, Ludwig;22527;4465;180
HERR GOTTHART;Der Hypochondrist;Quistorp, Theodor Johann;22523;4151;182
DER MANN;Die Gewaltlosen;Rubiner, Ludwig;22518;4118;214
EVCHEN;Die Kindermörderin;Wagner, Heinrich Leopold;22504;4289;132
CLAVIGO;Clavigo;Goethe, Johann Wolfgang von;22493;3994;140
ARRATOS;Der Bettler von Syrakus;Sudermann, Hermann;22455;4233;171
